
  Input Parameters of the Scattering Problem:

  wavelength of the ambient medium, wavelength =    5.5000E+02;
  axisymmetric particle;
  name of the file containing the T matrix, FileTmat = T_matrix_spheroid.dat                                                           
  maximum expansion order, Nrank =   5;
  maximum azimuthal order, Mrank =   4;
  average over Euler orientation angles:
  alphamin =   45.00, alphamax =   45.00, Nalpha =   1,
  betamin  =   45.00, betamax  =   45.00, Nbeta  =   1;
  plane wave excitation;
  incident direction, thetaGI =    0.00, phiGI =    0.00;
  beta  polarization vector = ( 1.000E+00, 0.000E+00)
  alpha polarization vector = ( 1.000E+00, 0.000E+00)
  scattering plane, phiGS =    0.00;
  characteristic length of the scatterer, anorm =  1.000E+00;
  normalization constant, pi * anorm**2 =    3.1416E+00;


  Results:

  Cross Sections and Efficiencies:
  <Cscat> =    2.3863E+05     <Qscat> =    7.5957E+04
  <Cext>  =    2.3862E+05     <Qext>  =    7.5956E+04

  Differential Scattering Cross Section:
  normalized average  differential scattering cross section
 128.00        2.6404E+03        1.2928E+02
 129.00        2.6016E+03        1.3349E+02
 130.00        2.5626E+03        1.3876E+02
 131.00        2.5234E+03        1.4504E+02
 132.00        2.4841E+03        1.5229E+02
 133.00        2.4447E+03        1.6048E+02
 134.00        2.4051E+03        1.6957E+02
 135.00        2.3654E+03        1.7950E+02
 136.00        2.3256E+03        1.9024E+02
 137.00        2.2857E+03        2.0175E+02
 138.00        2.2458E+03        2.1398E+02
 139.00        2.2058E+03        2.2689E+02
 140.00        2.1657E+03        2.4044E+02
 141.00        2.1257E+03        2.5457E+02
 142.00        2.0856E+03        2.6925E+02
 143.00        2.0456E+03        2.8442E+02
 144.00        2.0056E+03        3.0005E+02
 145.00        1.9657E+03        3.1608E+02
 146.00        1.9258E+03        3.3247E+02
 147.00        1.8861E+03        3.4917E+02
 148.00        1.8465E+03        3.6613E+02
 149.00        1.8070E+03        3.8331E+02
 150.00        1.7677E+03        4.0066E+02
 151.00        1.7286E+03        4.1812E+02
 152.00        1.6897E+03        4.3566E+02
 153.00        1.6510E+03        4.5322E+02
 154.00        1.6127E+03        4.7076E+02
 155.00        1.5745E+03        4.8823E+02
 156.00        1.5368E+03        5.0558E+02
 157.00        1.4993E+03        5.2276E+02
 158.00        1.4622E+03        5.3973E+02
 159.00        1.4255E+03        5.5644E+02
 160.00        1.3891E+03        5.7284E+02
 161.00        1.3532E+03        5.8890E+02
 162.00        1.3178E+03        6.0456E+02
 163.00        1.2828E+03        6.1978E+02
 164.00        1.2483E+03        6.3453E+02
 165.00        1.2143E+03        6.4875E+02
 166.00        1.1808E+03        6.6242E+02
 167.00        1.1479E+03        6.7548E+02
 168.00        1.1155E+03        6.8791E+02
